year,month,cpi,gdp,federal fund rate,10yr,sp500,crude oil,UNRATE,industrial production,dollar index,home price,gold,vix
2005,1,-0.000521648408972,0.035,0.0618410462764,-0.00300437521345,-0.014845146223,0.0831166472179,-0.0185185185185,0.0046,0.00521439031137,0.00926451124976,-0.0413172462142,0.0785305169497
2005,2,0.00417536534447,0.035,0.0877269442929,-0.0100965448653,0.0154212956997,0.0256482267313,0.0188679245283,0.0068,0.00183950343871,0.0111777194954,0.000150112906904,-0.128668896532
2005,3,0.00363825363825,0.043,0.0536005721319,0.0798803175681,-0.00394215490517,0.136856511579,-0.037037037037,-0.0016,-0.00531676198013,0.0163650960291,0.0221186133087,0.121054115575
2005,4,0.00310719834283,0.043,0.0557602670701,-0.0387574913064,-0.0255037675983,-0.0258454723566,0.0,0.0013,0.00844014707589,0.0147040952728,-0.00940483672912,0.101527278957
2005,5,-0.000516262261229,0.043,0.0819897084052,-0.0440339656375,0.0118963443651,-0.0628864411166,-0.0192307692308,0.0016,0.00450521179082,0.0152095808383,-0.0166512611462,-0.0339876169129
2005,6,0.00051652892562,0.021,0.0131074537376,-0.0346131407747,0.0203515526707,0.13131076831,-0.0196078431373,0.0041,0.00960349908413,0.0145688333137,0.020570199032,-0.150274909192
2005,7,0.00619514713474,0.021,0.0656609410014,0.043745237213,0.016620049736,0.046197723227,0.0,-0.0032,0.00415307838522,0.0121504563688,-0.0153946936451,-0.0690590172696
2005,8,0.00615700359159,0.021,0.0758959095837,0.0210331041682,0.00166369924982,0.101099147171,-0.02,0.002,-0.0130260159559,0.0104537622056,0.0318303466073,0.172169820599
2005,9,0.0137684854666,0.034,0.0437857884581,-0.0150765117974,0.00134310775894,0.00860669250158,0.0204081632653,-0.0184,-0.00116693980537,0.00960663938154,0.0428262605267,-0.0249557188234
2005,10,0.00150905432596,0.034,0.0331132322189,0.0631053911553,-0.0276939941056,-0.0501013358905,0.0,0.0125,0.00954366340114,0.00641855751365,0.0286465751462,0.182887740863
2005,11,-0.00502260170768,0.034,0.0625913621262,0.0173455597639,0.0380919850237,-0.0630425805272,0.0,0.0102,0.0071289426001,0.0052027972028,0.0166787056544,-0.186776754121
2005,12,0.0,0.023,0.0401629386118,-0.0148327770882,0.0199644098779,0.0189331890304,-0.02,0.006,-0.00633673458013,0.00239314336598,0.0667663761967,-0.0730693845536
2006,1,0.00605754669359,0.023,0.034008931639,-0.0127085310073,0.0131934600376,0.10244112464,-0.0408163265306,0.0012,-0.0130176715023,0.00399755704847,0.0795244143038,0.0689165186501
2006,2,0.000501756146513,0.023,0.0443084455326,0.0365662694768,-0.00162485295095,-0.0551090677292,0.0212765957447,0.0004,0.00163239812976,0.00376043798042,0.00990380810133,0.0361459481223
2006,3,0.00150451354062,0.049,0.0229264762836,0.0342021286054,0.0133903577864,0.0167990992386,-0.0208333333333,0.0019,0.00143533141078,0.0068315795273,0.00480439956986,-0.0623154765726
2006,4,0.0050075112669,0.049,0.0383199242782,0.0564629043859,0.00652656964305,0.114267314722,0.0,0.0043,-0.00697638631348,0.00492476060192,0.0959364776259,0.0131226713444
